taxon,release_date,modality,stack_topology,state_update_rule,attention_family,attention_projection,projection_bias_scheme,q_lora_present,kv_lora_present,kv_layout,cross_layer_kv_sharing,attention_pattern,hybrid_block_schedule,window_schedule_detail,secondary_token_mixer,attention_output_gating,positional_encoding,windowed_rope_scope,rope_partition_detail,rope_parameterization,qk_norm,qk_norm_detail,norm_scheme,block_norm_variant,residual_scheme,residual_update_rule,ffn_core,ffn_projection_style,ffn_activation_core,has_aux_silu_gate,has_aux_relu2_gate,has_moe,moe_distribution,moe_schedule_type,moe_subtype,router_activation,router_activation_configurable,has_shared_expert,shared_branch_merge_mode,shared_expert_configurable,expert_bias_correction,zero_expert_option,tie_embeddings_default,tie_embeddings_configurable,output_head_connection,lm_head_bias,uses_logit_scale,uses_logit_softcap,bitlinear_weights,chunked_kv_cache,laurel,altup,conv_on_kv,periodic_no_rope_layers,rglru_recurrence,gated_delta_net,ngram_memory,same_block_attention_ssm,dual_attention_modules,kv_reuse_attention,coefficient_mix_shared_routed,global_plus_linear_attention_mix,grouped_expert_selection,optional_nope
dbrx,2024-03-27,text,transformer,none,sdpa,fused_qkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek,2024-01-08,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,softmax_topk,0,1,additive,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek_v2,2024-05-06,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,yarn_rope,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,softmax_topk,0,1,additive,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek_v3,2024-12-26,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deepseek_v32,2025-09-29,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,layernorm_qk,layernorm_qk,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dots1,2025-06-06,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernie4_5,2025-06-28,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ernie4_5_moe,2025-06-28,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,1,additive,0,1,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exaone,2024-08-07,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exaone4,2025-07-15,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,periodic_global_plus_sliding_window,none,fixed_sliding,none,none,rope,local_only,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exaone_moe,2026-01-05,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,local_only,none,rope_parameters,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
falcon_h1,2025-05-20,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,separate_q_k_v,none,0,0,gqa,none,attention_and_ssm_masks,same_block_parallel,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,state_space_gated,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gemma,2024-02-21,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,gemma_rmsnorm_1plus,prenorm_sequential,plain_add,dense,gated_three_proj_separate,gelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma2,2024-06-27,text,transformer,none,custom,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,gemma_rmsnorm_1plus,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,custom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma3_text,2025-03-12,text,transformer,none,sdpa,separate_q_k_v,none,0,0,mqa,none,periodic_global_plus_sliding_window,none,fixed_sliding,none,none,dual_base_rope,local_global_dual_base,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,custom_rmsnorm,gemma_rmsnorm_1plus,sandwich_or_multi_norm,clipped_add,dense,gated_three_proj_separate,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gemma3n,2025-05-20,audio+vision+text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,terminal_shared_layers,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,dual_base_rope,local_global_dual_base,none,rope_scaling,qk_plus_v_norm,qk_plus_v_norm,custom_rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,dense,gated_three_proj_separate,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,custom,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
glm,2024-06-05,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glm4,2024-06-18,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,sandwich_or_multi_norm,plain_add,custom,gated_two_proj_fused,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glm4_moe,2025-07-28,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,?,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glm4_moe_lite,2026-01-19,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,dense_prefix_then_periodic,standard_topk,sigmoid_topk,0,1,additive,0,1,0,untied,1,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt2,2019-02-14,text,transformer,none,sdpa,fused_qkv,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,learned_absolute,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,ungated_two_proj,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt_bigcode,2022-12-22,text,transformer,none,sdpa,fused_qkv,full_linear,0,0,mqa,none,full_causal,none,none,none,none,learned_absolute,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,prenorm_sequential,plain_add,dense,ungated_two_proj,gelu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt_neox,2022-04-14,text,transformer,none,sdpa,fused_qkv,full_linear,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,partial_rope,uniform_all_layers,none,none,none,none,layernorm,standard_layernorm,parallel_residual,plain_add,dense,ungated_two_proj,gelu_approx,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,0,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gpt_oss,2025-08-05,text,transformer,none,sdpa,separate_q_k_v,full_linear,0,0,gqa,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,0,untied,0,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granite,2024-10-21,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granitemoe,2024-10-21,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
granitemoehybrid,2025-05-02,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,separate_q_k_v,none,0,0,kv_head_parameterized,none,attention_and_ssm_masks,alternating_layer_types,none,none,none,rope,uniform_all_layers,none,none,none,none,custom_rmsnorm,standard_rmsnorm,prenorm_sequential,scaled_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,standard_topk,softmax_topk,0,1,additive,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
helium,2025-01-13,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,?,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hunyuan,2025-06-27,text,transformer,none,sdpa,fused_qkvkv,none,0,0,kv_head_parameterized,stride_shared_projection,full_causal,none,none,none,none,dynamic_ntk_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,standard_topk,softmax_topk,0,1,additive,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hunyuan_v1_dense,2025-07-30,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,dynamic_ntk_rope,uniform_all_layers,none,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internlm2,2024-01-17,text,transformer,none,sdpa,custom,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,dynamic_ntk_rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
internlm3,2025-01-15,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,dynamic_ntk_rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iquestloopcoder,2025-12-30,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,silu,0,0,0,none,none,none,none,0,0,none,0,0,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jamba,2024-03-28,text,hybrid_attention_ssm,selective_ssm,sdpa_plus_ssm,separate_q_k_v,none,0,0,kv_head_parameterized,none,attention_and_ssm_masks,periodic_global_insertion,none,none,none,none,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,periodic_with_exclusions,periodic_sparse,softmax_topk,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimi_linear,2025-10-30,text,hybrid_attention_linear,gated_delta,mla_plus_gated_delta,lora_factored_q_or_kv,none,0,1,latent_kv_mla,none,full_attention_and_linear_state,sparse_injected_layers,none,none,post_attention_gate,decoupled_rope_split,uniform_all_layers,manual_rope_score_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,1,interleaved_or_periodic,all_layers,standard_topk,sigmoid_topk,0,0,none,0,1,0,untied,1,tied,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
lfm2,2025-07-10,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lfm2_moe,2025-10-07,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,sparse_injected_layers,none,short_depthwise_conv,none,rope,uniform_all_layers,none,rope_parameters,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,dense_prefix_then_periodic,standard_topk,softmax_topk,0,0,none,0,1,0,tied,0,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lille-130m,2025-08-31,text,transformer,none,sdpa,fused_qkvkv,none,0,0,mha,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,none,none,mixed_rms_layernorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama,2023-02-27,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,mixed_global_plus_sliding_window,none,fixed_sliding,none,none,rope,uniform_all_layers,none,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,tied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
llama4,2025-04-05,vision+text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,chunked_attention_cache,none,none,none,none,rope,uniform_all_layers,rope_free_dense_layers,rope_scaling,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,interleaved_or_periodic,periodic_with_exclusions,custom,topk_custom,0,1,additive,0,0,0,untied,0,untied_linear,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
llama4_text,2025-04-05,text,transformer,none,sdpa,separate_q_k_v,none,0,0,kv_head_parameterized,none,full_causal,none,none,none,none,rope,uniform_all_layers,none,none,rmsnorm_qk,rmsnorm_qk,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,?,1,custom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash,2025-09-01,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,full_causal,none,none,none,none,decoupled_rope_split,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,dense,gated_three_proj_separate,swiglu,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,1,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longcat_flash_ngram,2026-01-29,text,transformer,none,mla,lora_factored_q_or_kv,none,1,1,latent_kv_mla,none,ngram_memory_hybrid,none,none,none,none,none,uniform_all_layers,rope_nope_split,rope_scaling,none,none,rmsnorm,standard_rmsnorm,custom,plain_add,dense,gated_three_proj_separate,custom,0,0,1,all_layers,all_layers,custom,topk_custom,0,0,none,0,0,1,untied,0,untied_linear,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mamba,2023-12-01,text,ssm_only,selective_ssm,ssm,custom,none,0,0,state_cache,none,recurrent_ssm,none,none,none,none,none,uniform_all_layers,none,none,none,none,rmsnorm,standard_rmsnorm,prenorm_sequential,plain_add,custom,gated_three_proj_separate,swiglu,1,0,0,none,none,none,none,0,0,none,0,0,0,tied,1,untied_linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
