donor,recipient,donor_date,recipient_date,gap_days,is_primary_donor,borrowed_trait_count,borrowed_traits,consensus_primary_donor,consensus_primary_support
llama,minicpm,2023-02-27,2024-02-01,339,1,30,attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|qk_norm|residual_scheme|rglru_recurrence|rope_parameterization|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_softcap,llama,0.2000
phi,minicpm,2023-06-15,2024-02-01,231,0,19,altup|attention_pattern|attention_projection|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|hybrid_block_schedule|kv_reuse_attention|ngram_memory|output_head_connection|q_lora_present|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_scale|window_schedule_detail|windowed_rope_scope,llama,
plamo,olmo,2023-09-28,2024-02-01,126,1,44,altup|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,plamo,0.8000
llama,gemma,2023-02-27,2024-02-21,359,0,30,altup|attention_family|attention_output_gating|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|kv_layout|kv_lora_present|laurel|lm_head_bias|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|residual_scheme|rglru_recurrence|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|uses_logit_softcap|windowed_rope_scope,glm,
olmo,gemma,2024-02-01,2024-02-21,20,0,17,attention_pattern|bitlinear_weights|conv_on_kv|has_aux_relu2_gate|hybrid_block_schedule|kv_reuse_attention|modality|ngram_memory|optional_nope|qk_norm|residual_update_rule|rope_parameterization|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|window_schedule_detail,glm,
llama,bitnet,2023-02-27,2024-02-27,365,1,46,altup|attention_family|attention_output_gating|attention_projection|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,llama,0.6500
gpt_bigcode,starcoder2,2022-12-22,2024-02-28,433,0,26,altup|attention_family|block_norm_variant|chunked_kv_cache|ffn_activation_core|ffn_projection_style|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|tie_embeddings_default|window_schedule_detail,phi,
minicpm,starcoder2,2024-02-01,2024-02-28,27,0,23,attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|laurel|output_head_connection|positional_encoding|residual_scheme|same_block_attention_ssm|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,phi,
llama,cohere,2023-02-27,2024-03-11,378,0,23,attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|global_plus_linear_attention_mix|laurel|lm_head_bias|modality|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|stack_topology|tie_embeddings_default|windowed_rope_scope,phi,
phi,cohere,2023-06-15,2024-03-11,270,1,25,altup|attention_family|attention_pattern|attention_projection|block_norm_variant|cross_layer_kv_sharing|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|ngram_memory|norm_scheme|q_lora_present|residual_scheme|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_softcap|window_schedule_detail,phi,0.3000
minicpm,dbrx,2024-02-01,2024-03-27,55,0,32,altup|attention_family|attention_output_gating|chunked_kv_cache|conv_on_kv|expert_bias_correction|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_relu2_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|output_head_connection|positional_encoding|qk_norm|rglru_recurrence|rope_partition_detail|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,phixtral,
phixtral,dbrx,2024-01-08,2024-03-27,79,1,28,attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|grouped_expert_selection|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|lm_head_bias|moe_distribution|moe_schedule_type|moe_subtype|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|router_activation|tie_embeddings_configurable|tie_embeddings_default|zero_expert_option,phixtral,0.7500
deepseek,jamba,2024-01-08,2024-03-28,80,0,5,attention_projection|ffn_core|has_moe|moe_distribution|router_activation,mamba,
mamba,jamba,2023-12-01,2024-03-28,118,1,43,altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_expert_configurable|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|zero_expert_option,mamba,0.8000
gemma,recurrent_gemma,2024-02-21,2024-04-06,45,1,19,attention_projection|block_norm_variant|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|kv_layout|kv_reuse_attention|modality|norm_scheme|periodic_no_rope_layers|positional_encoding|q_lora_present|rope_parameterization|tie_embeddings_configurable|window_schedule_detail|windowed_rope_scope,gemma,0.5000
phi,recurrent_gemma,2023-06-15,2024-04-06,296,0,24,altup|attention_family|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|has_aux_relu2_gate|has_aux_silu_gate|kv_lora_present|laurel|lm_head_bias|ngram_memory|optional_nope|output_head_connection|qk_norm|residual_update_rule|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,gemma,
internlm2,phi3,2024-01-17,2024-04-22,96,1,46,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,internlm2,0.6000
phi3,openelm,2024-04-22,2024-04-24,2,0,25,altup|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_moe|kv_reuse_attention|lm_head_bias|norm_scheme|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|window_schedule_detail,plamo,
qwen,openelm,2023-08-03,2024-04-24,265,0,23,attention_family|attention_output_gating|attention_pattern|cross_layer_kv_sharing|ffn_core|gated_delta_net|has_aux_relu2_gate|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|modality|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rope_parameterization|tie_embeddings_configurable|uses_logit_softcap|windowed_rope_scope,plamo,
deepseek,deepseek_v2,2024-01-08,2024-05-06,119,1,55,altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|coefficient_mix_shared_routed|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_moe|has_shared_expert|hybrid_block_schedule|kv_reuse_attention|laurel|lm_head_bias|modality|moe_distribution|moe_schedule_type|moe_subtype|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|router_activation|router_activation_configurable|same_block_attention_ssm|secondary_token_mixer|shared_branch_merge_mode|shared_expert_configurable|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope|zero_expert_option,deepseek,1.0000
gpt2,phi3small,2019-02-14,2024-05-07,1909,1,47,altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,1.0000
mamba,mamba2,2023-12-01,2024-05-31,182,1,40,altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail,mamba,1.0000
glm,glm4,2021-03-18,2024-06-05,1175,1,22,attention_output_gating|block_norm_variant|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_reuse_attention|modality|ngram_memory|norm_scheme|residual_update_rule|rope_partition_detail|same_block_attention_ssm|window_schedule_detail|windowed_rope_scope,glm,0.4500
stablelm,glm4,2023-04-19,2024-06-05,413,0,27,altup|attention_family|attention_pattern|attention_projection|bitlinear_weights|cross_layer_kv_sharing|global_plus_linear_attention_mix|has_aux_relu2_gate|kv_lora_present|laurel|lm_head_bias|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|rglru_recurrence|rope_parameterization|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap,glm,
bitnet,qwen2,2024-02-27,2024-06-07,101,0,25,attention_pattern|attention_projection|block_norm_variant|chunked_kv_cache|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|modality|norm_scheme|optional_nope|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|windowed_rope_scope,qwen,
qwen,qwen2,2023-08-03,2024-06-07,309,1,25,altup|attention_family|attention_output_gating|bitlinear_weights|conv_on_kv|cross_layer_kv_sharing|ffn_activation_core|has_aux_relu2_gate|has_aux_silu_gate|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|window_schedule_detail,qwen,0.6000
