model,date,source_url,source_title,note
granitemoehybrid,2025-05-02,"https://www.ibm.com/new/announcements/ibm-granite-4-0-tiny-preview-sneak-peek","IBM Granite 4.0 Tiny Preview: a sneak peek","The local granitemoehybrid.py matches IBM's Granite 4.0 Tiny Preview hybrid architecture (attention + Mamba-style state-space blocks with optional MoE); using IBM's formal preview announcement date instead of the earlier Hugging Face model-card creation timestamp."
helium,2025-01-13,"https://kyutai.org/blog/2025-01-13-helium","Announcing Helium-1 Preview","Official Kyutai launch post for the native Helium architecture."
hunyuan,2025-06-27,"https://github.com/Tencent-Hunyuan/Hunyuan-A13B","Tencent-Hunyuan/Hunyuan-A13B","Official README release log for the open Hunyuan-A13B family, which is the first public hunyuan architecture artifact found; not the earlier closed-service Hunyuan launch."
hunyuan_v1_dense,2025-07-30,"https://github.com/Tencent-Hunyuan/Hunyuan-7B","Tencent-Hunyuan/Hunyuan-7B","Official README release log for dense HunYuan V1 models."
internlm2,2024-01-17,"https://github.com/InternLM/InternLM","InternLM/InternLM","Official README release log for InternLM2-7B and InternLM2-20B."
internlm3,2025-01-15,"https://github.com/InternLM/InternLM","InternLM/InternLM","Official README release log for InternLM3-8B-Instruct."
iquestloopcoder,2025-12-30,"https://huggingface.co/IQuestLab/IQuest-Coder-V1-40B-Loop-Instruct","IQuestLab/IQuest-Coder-V1-40B-Loop-Instruct","Official Hugging Face model-card creation timestamp for LoopCoder; repo and blog posts appeared later."
jamba,2024-03-28,"https://huggingface.co/ai21labs/Jamba-v0.1","ai21labs/Jamba-v0.1","Official Hugging Face model-card creation timestamp; same day as AI21's Jamba announcement."
kimi_linear,2025-10-30,"https://huggingface.co/moonshotai/Kimi-Linear-48B-A3B-Instruct","moonshotai/Kimi-Linear-48B-A3B-Instruct","Official Hugging Face model-card creation timestamp for the earliest public Kimi Linear artifact found."
lfm2,2025-07-10,"https://huggingface.co/LiquidAI/LFM2-700M","LiquidAI/LFM2-700M","Official Hugging Face model-card creation timestamp for the first public dense LFM2 checkpoint."
lfm2_moe,2025-10-07,"https://huggingface.co/LiquidAI/LFM2-8B-A1B","LiquidAI/LFM2-8B-A1B","Official Hugging Face model-card creation timestamp for the first public LFM2 MoE checkpoint."
lille-130m,2025-08-31,"https://huggingface.co/Nikity/lille-130m-base","Nikity/lille-130m-base","Official creator-run Hugging Face model card; no earlier vendor blog, repo release, or primary paper surfaced first."
llama,2023-02-27,"https://arxiv.org/abs/2302.13971","LLaMA: Open and Efficient Foundation Language Models","arXiv v1 primary paper."
llama4,2025-04-05,"https://huggingface.co/docs/transformers/model_doc/llama4","Llama4","Official docs say the family was released on 2025-04-05."
llama4_text,2025-04-05,"https://huggingface.co/docs/transformers/model_doc/llama4","Llama4","Llama4TextModel is documented on the same family release page; no separate launch was found."
longcat_flash,2025-09-01,"https://huggingface.co/docs/transformers/model_doc/longcat_flash","LongCatFlash","Official docs say the model was released on 2025-09-01."
longcat_flash_ngram,2026-01-29,"https://arxiv.org/abs/2601.21204","Scaling Embeddings Outperforms Scaling Experts in Language Models","Primary paper for LongCat-Flash-Lite, the n-gram-embedding variant."
mamba,2023-12-01,"https://arxiv.org/abs/2312.00752","Mamba: Linear-Time Sequence Modeling with Selective State Spaces","arXiv v1 primary paper."
mamba2,2024-05-31,"https://arxiv.org/abs/2405.21060","Transformers are SSMs: Generalized Models and Efficient Algorithms Through Structured State Space Duality","arXiv v1 primary paper introducing Mamba-2."
mimo,2025-05-12,"https://arxiv.org/abs/2505.07608","MiMo: Unlocking the Reasoning Potential of Language Model -- From Pretraining to Posttraining","arXiv v1; earliest explicit dated primary source found."
mimo_v2_flash,2025-12-16,"https://lmsys.org/blog/2025-12-16-mimo-v2-flash/","SGLang Day-0 Support for MiMo-V2-Flash Model","Coauthored launch post by SGLang and Xiaomi LLM Core Team; technical report followed in 2026."
minicpm,2024-02-01,"https://github.com/OpenBMB/MiniCPM","GitHub - OpenBMB/MiniCPM","Official repo changelog entry for MiniCPM-2B."
minicpm3,2024-09-05,"https://github.com/OpenBMB/MiniCPM","GitHub - OpenBMB/MiniCPM","Official repo changelog entry for MiniCPM3-4B."
minimax,2025-10-27,"https://huggingface.co/docs/transformers/main/en/model_doc/minimax_m2","MiniMax-M2","The local minimax.py implements a standard GQA+RoPE transformer with sparse MoE, not the Lightning-Attention hybrid MiniMax-Text-01 family; Transformers docs say MiniMax-M2 was released on 2025-10-27."
ministral3,2025-12-02,"https://legal.mistral.ai/ai-governance/models/ministral-3-3b","Ministral 3 - 3B - Mistral AI","3B, 8B, and 14B family pages all show the same launch date."
mixtral,2023-12-11,"https://legal.mistral.ai/ai-governance/models/mixtral-8-7b","Mixtral 8B x 7B - Mistral AI","Family page lists Base and Instruct on the same launch date."
nanochat,2025-10-13,"https://api.github.com/repos/karpathy/nanochat","karpathy/nanochat","Date from official GitHub repo created_at metadata; no earlier dated launch page was found."
nemotron-nas,2024-09-23,"https://developer.nvidia.com/blog/advancing-the-accuracy-efficiency-frontier-with-llama-3-1-nemotron-51b/","Advancing the Accuracy-Efficiency Frontier with Llama-3.1-Nemotron-51B - NVIDIA Technical Blog","First dated NVIDIA post found for the NAS-derived Llama-3.1 Nemotron family."
nemotron,2023-11-14,"https://huggingface.co/nvidia/nemotron-3-8b-base-4k","nvidia/nemotron-3-8b-base-4k - Hugging Face","Official model page embeds createdAt metadata; earliest Nemotron artifact matching this taxon found."
nemotron_h,2025-03-20,"https://huggingface.co/nvidia/Nemotron-H-4B-Base-8K","nvidia/Nemotron-H-4B-Base-8K - Hugging Face","Official model page embeds createdAt metadata; earlier than the NVIDIA research landing page."
olmo,2024-02-01,"https://allenai.org/blog/olmo-open-language-model-87ccfc95f580","OLMo: Open Language Model - Ai2","Official Ai2 launch post."
olmo2,2024-11-26,"https://allenai.org/blog/olmo2","OLMo 2: The best fully open language model to date - Ai2","Official Ai2 launch post."
olmo3,2025-11-20,"https://allenai.org/blog/olmo3","Olmo 3: Charting a path through the model flow to lead open-source AI - Ai2","Official Ai2 launch post."
olmoe,2024-09-04,"https://allenai.org/blog/olmoe-an-open-small-and-state-of-the-art-mixture-of-experts-model-c258432d0514","OLMoE: An open, small, and state-of-the-art mixture-of-experts model - Ai2","Official Ai2 launch post."
openelm,2024-04-24,"https://machinelearning.apple.com/research/openelm","OpenELM: An Efficient Language Model Family with Open Training and Inference Framework - Apple Machine Learning Research","Official Apple page exposes published=2024-04-24 in page data."
phi,2023-12-12,"https://www.microsoft.com/en-us/research/blog/phi-2-the-surprising-power-of-small-language-models/","Phi-2: The surprising power of small language models - Microsoft Research","The local phi.py matches the later Phi-2 family shape (32 layers, 2560 hidden size, 2048 context, partial RoPE), not the earlier phi-1 release page; the Microsoft Research Phi-2 blog was published on 2023-12-12."
phi3,2024-04-22,"https://huggingface.co/api/models/microsoft/Phi-3-mini-4k-instruct","Hugging Face model metadata: microsoft/Phi-3-mini-4k-instruct","Exact day from official model metadata on the first public checkpoint with HF model_type phi3; same day as the v1 Phi-3 technical report."
phi3small,2024-05-07,"https://huggingface.co/api/models/microsoft/Phi-3-small-8k-instruct","Hugging Face model metadata: microsoft/Phi-3-small-8k-instruct","Exact day from official model metadata on the first public checkpoint with HF model_type phi3small."
phimoe,2024-08-17,"https://huggingface.co/api/models/microsoft/Phi-3.5-MoE-instruct","Hugging Face model metadata: microsoft/Phi-3.5-MoE-instruct","Exact day from official model metadata on the first public checkpoint with HF model_type phimoe."
phixtral,2024-01-08,"https://huggingface.co/api/models/mlabonne/phixtral-4x2_8","Hugging Face model metadata: mlabonne/phixtral-4x2_8","Community architecture; used the original creator checkpoint because no vendor paper or official repo release was found."
plamo,2023-09-28,"https://tech.preferred.jp/ja/blog/llm-plamo/","PLaMo-13Bを公開しました - Preferred Networks Tech Blog","PFN JSON-LD is 2023-09-27T23:47:09Z, but the article text says the public release was on 2023-09-28; using the local release date."
plamo2,2025-01-14,"https://tech.preferred.jp/ja/blog/plamo-2/","大規模言語モデルの次期バージョン PLaMo 2 の事前検証: SSMの採用と合成データによる性能改善の取り組み - Preferred Networks Tech Blog","Earliest public PLaMo 2 architecture post found; it predates later PLaMo 2.0 Prime releases."
qwen,2023-08-03,"https://github.com/QwenLM/Qwen","GitHub - QwenLM/Qwen: The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.","Official repo was created on 2023-08-03 and the README release-history table lists the first Qwen-7B and Qwen-7B-Chat release that day."
qwen2,2024-06-07,"https://qwenlm.github.io/blog/qwen2/","Hello Qwen2","Official Qwen2 launch post."
qwen2_moe,2024-06-07,"https://qwenlm.github.io/blog/qwen2/","Hello Qwen2","Official Qwen2 launch post; the release includes the Qwen2-57B-A14B MoE model."
qwen3,2025-04-29,"https://qwenlm.github.io/blog/qwen3/","Qwen3: Think Deeper, Act Faster","Official Qwen3 launch post."
qwen3_5,2026-02-14,"https://qwen.ai/api/v2/article/?language=en-US&path=qwen3.5&type=qwen_ai","Qwen3.5: Towards Native Multimodal Agents","Exact date comes from the official qwen.ai article metadata."
qwen3_moe,2025-04-29,"https://huggingface.co/docs/transformers/v5.0.0/en/model_doc/qwen3_moe","Qwen3MoE","Transformers docs state this model was released on 2025-04-29 and the page says it was released with Qwen3."
qwen3_next,2025-09-09,"https://huggingface.co/Qwen/Qwen3-Next-80B-A3B-Instruct","Qwen/Qwen3-Next-80B-A3B-Instruct","Official Hugging Face model-card creation timestamp for the earliest public Qwen3-Next artifact found; Alibaba's announcement followed on 2025-09-12."
recurrent_gemma,2024-04-09,"https://developers.googleblog.com/gemma-family-expands-with-models-tailored-for-developers-and-researchers/","Gemma family expands with models tailored for developers and researchers","The local recurrent_gemma.py clearly matches the Griffin / RecurrentGemma family (alternating local attention and recurrent blocks), so this row uses Google's formal announcement date rather than the slightly earlier Hugging Face model-card creation timestamp."
rwkv7,2024-09-23,"https://github.com/BlinkDL/RWKV-LM/commit/e1d143f526e28be61fc06571034dda179101a683","RWKV-7 ""Goose"" x070.rc2-2409-2r7a-b0b4a","First RWKV-7 commit in the official repo, found via reverse git log over RWKV-LM history."
seed_oss,2025-08-20,"https://huggingface.co/ByteDance-Seed/Seed-OSS-36B-Base","ByteDance-Seed/Seed-OSS-36B-Base","Official Hugging Face model-card creation timestamp; matches the 2025-08-20 release note in the official repo README."
smollm3,2025-07-08,"https://huggingface.co/blog/smollm3","SmolLM3: smol, multilingual, long-context reasoner","Official Hugging Face launch post."
stablelm,2023-10-02,"https://stability.ai/news/stable-lm-3b-sustainable-high-performance-language-models-smart-devices","Stable LM 3B: Sustainable high-performance language models for smart devices","The local stablelm.py matches the StableLM 3B / 3B 4E1T family (LayerNorm, partial RoPE, optional QK layernorm / QKV bias), so this row uses Stability AI's family-specific launch date instead of the generic Transformers docs page."
starcoder2,2024-02-28,"https://huggingface.co/blog/starcoder2","StarCoder2 and The Stack v2","Official BigCode and Hugging Face launch post."
step3p5,2026-02-01,"https://huggingface.co/stepfun-ai/Step-3.5-Flash","stepfun-ai/Step-3.5-Flash - Hugging Face","Official model page embeds createdAt metadata; earliest Step-3.5 artifact found."
telechat3,2025-12-24,"https://huggingface.co/Tele-AI/TeleChat3-36B-Thinking","Tele-AI/TeleChat3-36B-Thinking - Hugging Face","Official model page embeds createdAt metadata; earliest TeleChat3 artifact found."
youtu_llm,2025-12-31,"https://huggingface.co/tencent/Youtu-LLM-2B","tencent/Youtu-LLM-2B - Hugging Face","Official model page embeds createdAt metadata."
